84.75,0.25,C4
85.0,0.25,E-4
85.25,0.25,A3
85.5,0.25,C4
85.75,0.25,E-4
86.5,0.25,A3
86.75,0.25,C4
87.0,0.25,E-4
87.25,0.25,A3
87.5,0.25,C4
87.75,0.25,E-4
88.5,0.25,B3
88.75,0.25,C4
89.0,0.25,D4
89.25,0.25,B3
89.5,0.25,C4
89.75,0.25,D4
90.5,0.25,B3
90.75,0.25,C4
91.0,0.25,D4
91.25,0.25,B3
91.5,0.25,C4
91.75,0.25,D4
92.5,0.25,G3
92.75,0.25,B3
93.0,0.25,D4
93.25,0.25,G3
93.5,0.25,B3
93.75,0.25,D4
94.5,0.25,G3
94.75,0.25,B3
95.0,0.25,D4
95.25,0.25,G3
95.5,0.25,B3
95.75,0.25,D4
96.5,0.25,G3
96.75,0.25,C4
97.0,0.25,E4
97.25,0.25,G3
97.5,0.25,C4
97.75,0.25,E4
98.5,0.25,G3
98.75,0.25,C4
99.0,0.25,E4
99.25,0.25,G3
99.5,0.25,C4
99.75,0.25,E4
100.5,0.25,G3
100.75,0.25,C4
101.0,0.25,F4
101.25,0.25,G3
101.5,0.25,C4
101.75,0.25,F4
102.5,0.25,G3
102.75,0.25,C4
103.0,0.25,F4
103.25,0.25,G3
103.5,0.25,C4
103.75,0.25,F4
104.5,0.25,G3
104.75,0.25,B3
105.0,0.25,F4
105.25,0.25,G3
105.5,0.25,B3
105.75,0.25,F4
106.5,0.25,G3
106.75,0.25,B3
107.0,0.25,F4
107.25,0.25,G3
107.5,0.25,B3
107.75,0.25,F4
108.5,0.25,A3
108.75,0.25,C4
109.0,0.25,F#4
109.25,0.25,A3
109.5,0.25,C4
109.75,0.25,F#4
110.5,0.25,A3
110.75,0.25,C4
111.0,0.25,F#4
111.25,0.25,A3
111.5,0.25,C4
111.75,0.25,F#4
112.5,0.25,G3
112.75,0.25,C4
113.0,0.25,G4
113.25,0.25,G3
113.5,0.25,C4
113.75,0.25,G4
114.5,0.25,G3
114.75,0.25,C4
115.0,0.25,G4
115.25,0.25,G3
115.5,0.25,C4
115.75,0.25,G4
116.5,0.25,G3
116.75,0.25,C4
117.0,0.25,F4
117.25,0.25,G3
117.5,0.25,C4
117.75,0.25,F4
118.5,0.25,G3
118.75,0.25,C4
119.0,0.25,F4
119.25,0.25,G3
119.5,0.25,C4
119.75,0.25,F4
120.5,0.25,G3
120.75,0.25,B3
121.0,0.25,F4
121.25,0.25,G3
121.5,0.25,B3
121.75,0.25,F4
122.5,0.25,G3
122.75,0.25,B3
123.0,0.25,F4
123.25,0.25,G3
123.5,0.25,B3
123.75,0.25,F4
124.5,0.25,G3
124.75,0.25,B-3
125.0,0.25,E4
125.25,0.25,G3
125.5,0.25,B-3
125.75,0.25,E4
126.5,0.25,G3
126.75,0.25,B-3
127.0,0.25,E4
127.25,0.25,G3
127.5,0.25,B-3
127.75,0.25,E4
128.5,0.25,F3
128.75,0.25,A3
129.0,0.25,C4
129.25,0.25,F4
129.5,0.25,C4
129.75,0.25,A3
130.0,0.25,C4
130.25,0.25,A3
130.5,0.25,F3
130.75,0.25,A3
131.0,0.25,F3
131.25,0.25,D3
131.5,0.25,F3
131.75,0.25,D3
132.5,0.25,G4
132.75,0.25,B4
133.0,0.25,D5
133.25,0.25,F5
133.5,0.25,D5
133.75,0.25,B4
134.0,0.25,D5
134.25,0.25,B4
134.5,0.25,G4
134.75,0.25,B4
135.0,0.25,D4
135.25,0.25,F4
135.5,0.25,E4
135.75,0.25,D4
136.0,2.75,C5
0.0,2.0,C4
0.25,1.75,E4
2.0,2.0,C4
2.25,1.75,E4
4.0,2.0,C4
4.25,1.75,D4
6.0,2.0,C4
6.25,1.75,D4
8.0,2.0,B3
8.25,1.75,D4
10.0,2.0,B3
10.25,1.75,D4
12.0,2.0,C4
12.25,1.75,E4
14.0,2.0,C4
14.25,1.75,E4
16.0,2.0,C4
16.25,1.75,E4
18.0,2.0,C4
18.25,1.75,E4
20.0,2.0,C4
20.25,1.75,D4
22.0,2.0,C4
22.25,1.75,D4
24.0,2.0,B3
24.25,1.75,D4
26.0,2.0,B3
26.25,1.75,D4
28.0,2.0,B3
28.25,1.75,C4
30.0,2.0,B3
30.25,1.75,C4
32.0,2.0,A3
32.25,1.75,C4
34.0,2.0,A3
34.25,1.75,C4
36.0,2.0,D3
36.25,1.75,A3
38.0,2.0,D3
38.25,1.75,A3
40.0,2.0,G3
