Number of segments: 47
171       48.75           0.25        69.0
172        49.0           0.25        74.0
--------------------------------------------

bach_846 Segment 10 (red):
    onset_beats duration_beats  midi_pitch
173       49.25           0.25        62.0
174        49.5           0.25        69.0
175       49.75           0.25        74.0
176        50.0            0.5         0.0
177        50.5           0.25        62.0
178       50.75           0.25        69.0
179        51.0           0.25        74.0
180       51.25           0.25        62.0
181        51.5           0.25        69.0
182       51.75           0.25        74.0
--------------------------------------------

bach_846 Segment 11 (red):
    onset_beats duration_beats  midi_pitch
183        52.0            0.5         0.0
184        52.5           0.25        62.0
185       52.75           0.25        65.0
186        53.0           0.25        71.0
187       53.25           0.25        62.0
188        53.5           0.25        65.0
189       53.75           0.25        71.0
190        54.0            0.5         0.0
191        54.5           0.25        62.0
192       54.75           0.25        65.0
193        55.0           0.25        71.0
194       55.25           0.25        62.0
195        55.5           0.25        65.0
196       55.75           0.25        71.0
197        56.0            0.5         0.0
198        56.5           0.25        60.0
199       56.75           0.25        67.0
200        57.0           0.25        72.0
201       57.25           0.25        60.0
202        57.5           0.25        67.0
203       57.75           0.25        72.0
204        58.0            0.5         0.0
205        58.5           0.25        60.0
206       58.75           0.25        67.0
207        59.0           0.25        72.0
208       59.25           0.25        60.0
209        59.5           0.25        67.0
210       59.75           0.25        72.0
--------------------------------------------

bach_846 Segment 12 (red):
    onset_beats duration_beats  midi_pitch
211        60.0            0.5         0.0
212        60.5           0.25        57.0
213       60.75           0.25        60.0
214        61.0           0.25        65.0
215       61.25           0.25        57.0
216        61.5           0.25        60.0
217       61.75           0.25        65.0
218        62.0            0.5         0.0
219        62.5           0.25        57.0
220       62.75           0.25        60.0
221        63.0           0.25        65.0
222       63.25           0.25        57.0
223        63.5           0.25        60.0
224       63.75           0.25        65.0
225        64.0            0.5         0.0
226        64.5           0.25        57.0
227       64.75           0.25        60.0
228        65.0           0.25        65.0
229       65.25           0.25        57.0
230        65.5           0.25        60.0
231       65.75           0.25        65.0
232        66.0            0.5         0.0
233        66.5           0.25        57.0
234       66.75           0.25        60.0
235        67.0           0.25        65.0
236       67.25           0.25        57.0
237        67.5           0.25        60.0
--------------------------------------------

bach_846 Segment 13 (red):
    onset_beats duration_beats  midi_pitch
238       67.75           0.25        65.0
239        68.0            0.5         0.0
240        68.5           0.25        55.0
241       68.75           0.25        59.0
242        69.0           0.25        65.0
243       69.25           0.25        55.0
244        69.5           0.25        59.0
245       69.75           0.25        65.0
246        70.0            0.5         0.0
247        70.5           0.25        55.0
248       70.75           0.25        59.0
249        71.0           0.25        65.0
250       71.25           0.25        55.0
251        71.5           0.25        59.0
252       71.75           0.25        65.0
253        72.0            0.5         0.0
254        72.5           0.25        55.0
255       72.75           0.25        60.0
256        73.0           0.25        64.0
257       73.25           0.25        55.0
258        73.5           0.25        60.0
259       73.75           0.25        64.0
260        74.0            0.5         0.0
261        74.5           0.25        55.0
262       74.75           0.25        60.0
263        75.0           0.25        64.0
264       75.25           0.25        55.0
265        75.5           0.25        60.0
266       75.75           0.25        64.0
--------------------------------------------

bach_846 Segment 14 (red):
    onset_beats duration_beats  midi_pitch
267        76.0            0.5         0.0
268        76.5           0.25        58.0
269       76.75           0.25        60.0
270        77.0           0.25        64.0
271       77.25           0.25        58.0
272        77.5           0.25        60.0
273       77.75           0.25        64.0
274        78.0            0.5         0.0
275        78.5           0.25        58.0
276       78.75           0.25        60.0
277        79.0           0.25        64.0
278       79.25           0.25        58.0
279        79.5           0.25        60.0
--------------------------------------------

bach_846 Segment 15 (red):
    onset_beats duration_beats  midi_pitch
280       79.75           0.25        64.0
281        80.0            0.5         0.0
282        80.5           0.25        57.0
283       80.75           0.25        60.0
284        81.0           0.25        64.0
..          ...            ...         ...
336       95.75           0.25        62.0
337        96.0            0.5         0.0
338        96.5           0.25        55.0
339       96.75           0.25        60.0
340        97.0           0.25        64.0

[61 rows x 3 columns]
--------------------------------------------

bach_846 Segment 16 (red):
    onset_beats duration_beats  midi_pitch
341       97.25           0.25        55.0
342        97.5           0.25        60.0
343       97.75           0.25        64.0
344        98.0            0.5         0.0
345        98.5           0.25        55.0
346       98.75           0.25        60.0
347        99.0           0.25        64.0
348       99.25           0.25        55.0
349        99.5           0.25        60.0
350       99.75           0.25        64.0
--------------------------------------------

bach_846 Segment 17 (red):
    onset_beats duration_beats  midi_pitch
351       100.0            0.5         0.0
352       100.5           0.25        55.0
353      100.75           0.25        60.0
354       101.0           0.25        65.0
355      101.25           0.25        55.0
356       101.5           0.25        60.0
357      101.75           0.25        65.0
358       102.0           0.25         0.0
359      102.25           0.25         0.0
360       102.5           0.25        55.0
361      102.75           0.25        60.0
362       103.0           0.25        65.0
363      103.25           0.25        55.0
364       103.5           0.25        60.0
365      103.75           0.25        65.0
366       104.0            0.5         0.0
367       104.5           0.25        55.0
368      104.75           0.25        59.0
369       105.0           0.25        65.0
370      105.25           0.25        55.0
371       105.5           0.25        59.0
372      105.75           0.25        65.0
373       106.0            0.5         0.0
374       106.5           0.25        55.0
375      106.75           0.25        59.0
376       107.0           0.25        65.0
377      107.25           0.25        55.0
378       107.5           0.25        59.0
379      107.75           0.25        65.0
380       108.0            0.5         0.0
381       108.5           0.25        57.0
382      108.75           0.25        60.0
--------------------------------------------

bach_846 Segment 18 (red):
    onset_beats duration_beats  midi_pitch
383       109.0           0.25        66.0
384      109.25           0.25        57.0
385       109.5           0.25        60.0
386      109.75           0.25        66.0
387       110.0            0.5         0.0
388       110.5           0.25        57.0
389      110.75           0.25        60.0
390       111.0           0.25        66.0
391      111.25           0.25        57.0
392       111.5           0.25        60.0
--------------------------------------------

bach_846 Segment 19 (red):
    onset_beats duration_beats  midi_pitch
393      111.75           0.25        66.0
394       112.0            0.5         0.0
395       112.5           0.25        55.0
396      112.75           0.25        60.0
397       113.0           0.25        67.0
398      113.25           0.25        55.0
399       113.5           0.25        60.0
400      113.75           0.25        67.0
401       114.0            0.5         0.0
402       114.5           0.25        55.0
403      114.75           0.25        60.0
404       115.0           0.25        67.0
405      115.25           0.25        55.0
406       115.5           0.25        60.0
407      115.75           0.25        67.0
408       116.0            0.5         0.0
409       116.5           0.25        55.0
410      116.75           0.25        60.0
411       117.0           0.25        65.0
412      117.25           0.25        55.0
413       117.5           0.25        60.0
--------------------------------------------

bach_846 Segment 20 (red):
    onset_beats duration_beats  midi_pitch
414      117.75           0.25        65.0
415       118.0            0.5         0.0
416       118.5           0.25        55.0
417      118.75           0.25        60.0
418       119.0           0.25        65.0
419      119.25           0.25        55.0
420       119.5           0.25        60.0
421      119.75           0.25        65.0
422       120.0           0.25         0.0
423      120.25           0.25         0.0
424       120.5           0.25        55.0
425      120.75           0.25        59.0
426       121.0           0.25        65.0
427      121.25           0.25        55.0
428       121.5           0.25        59.0
--------------------------------------------

bach_846 Segment 21 (red):
    onset_beats duration_beats  midi_pitch
429      121.75           0.25        65.0
430       122.0           0.25         0.0
431      122.25           0.25         0.0
432       122.5           0.25        55.0
433      122.75           0.25        59.0
--------------------------------------------

bach_846 Segment 22 (red):
    onset_beats duration_beats  midi_pitch
434       123.0           0.25        65.0
435      123.25           0.25        55.0
436       123.5           0.25        59.0
437      123.75           0.25        65.0
438       124.0            0.5         0.0
439       124.5           0.25        55.0
440      124.75           0.25        58.0
441       125.0           0.25        64.0
442      125.25           0.25        55.0
443       125.5           0.25        58.0
444      125.75           0.25        64.0
445       126.0            0.5         0.0
446       126.5           0.25        55.0
447      126.75           0.25        58.0
448       127.0           0.25        64.0
449      127.25           0.25        55.0
450       127.5           0.25        58.0
451      127.75           0.25        64.0
452       128.0            0.5         0.0
453       128.5           0.25        53.0
454      128.75           0.25        57.0
455       129.0           0.25        60.0
456      129.25           0.25        65.0
457       129.5           0.25        60.0
458      129.75           0.25        57.0
459       130.0           0.25        60.0
460      130.25           0.25        57.0
461       130.5           0.25        53.0
462      130.75           0.25        57.0
463       131.0           0.25        53.0
464      131.25           0.25        50.0
465       131.5           0.25        53.0
466      131.75           0.25        50.0
467       132.0            0.5         0.0
468       132.5           0.25        67.0
469      132.75           0.25        71.0
470       133.0           0.25        74.0
471      133.25           0.25        77.0
472       133.5           0.25        74.0
473      133.75           0.25        71.0
474       134.0           0.25        74.0
475      134.25           0.25        71.0
476       134.5           0.25        67.0
477      134.75           0.25        71.0
478       135.0           0.25        62.0
479      135.25           0.25        65.0
480       135.5           0.25        64.0
481      135.75           0.25        62.0
482       136.0           2.75        72.0
483      138.75           1.25         0.0
484       140.0            2.0         0.0
--------------------------------------------

bach_846 Segment 23 (red):
    onset_beats duration_beats  midi_pitch
485       142.0           0.75         0.0
486      142.75           0.25         0.0
487       143.0            1.0         0.0
488       144.0            0.5         0.0
489       144.5           1.75         0.0
490      146.25           0.25         0.0
491       146.5            1.0         0.0
492       147.5            0.5         0.0
493       148.0           0.75         0.0
494      148.75           0.25         0.0
495       149.0            1.0         0.0
496       150.0            0.5         0.0
497       150.5            1.5         0.0
498       152.0            1.0         0.0
499       153.0            1.5         0.0
--------------------------------------------

bach_846 Segment 24 (red):
    onset_beats duration_beats  midi_pitch
500       154.5           0.25         0.0
501      154.75           0.25         0.0
502       155.0            1.0         0.0
503       156.0            0.5         0.0
504       156.5            2.0         0.0
505       158.5            0.5         0.0
506       159.0            1.0         0.0
507       160.0           0.75         0.0
508      160.75           0.25         0.0
509       161.0            1.0         0.0
510       162.0            0.5         0.0
511       162.5            1.0         0.0
512       163.5            0.5         0.0
513       164.0            1.5         0.0
--------------------------------------------

bach_846 Segment 25 (red):
    onset_beats duration_beats  midi_pitch
514       165.5            0.5         0.0
515       166.0           0.75         0.0
516      166.75           0.25         0.0
517       167.0            1.0         0.0
518       168.0            0.5         0.0
519       168.5            1.0         0.0
520       169.5            0.5         0.0
521       170.0            0.5         0.0
522       170.5            1.0         0.0
523       171.5           0.25         0.0
524      171.75           0.25         0.0
525       172.0           2.75         0.0
--------------------------------------------

bach_846 Segment 26 (red):
    onset_beats duration_beats  midi_pitch
526      174.75           0.25         0.0
527       175.0           0.75         0.0
528      175.75           0.25         0.0
529       176.0            0.5         0.0
530       176.5            0.5         0.0
531       177.0            0.5         0.0
532       177.5           0.25         0.0
533      177.75           0.25         0.0
534       178.0           0.25         0.0
535      178.25            0.5         0.0
536      178.75           0.75         0.0
537       179.5            0.5         0.0
538       180.0           0.75         0.0
539      180.75           0.25         0.0
540       181.0           0.75         0.0
541      181.75           0.25         0.0
542       182.0            1.0         0.0
543       183.0            0.5         0.0
544       183.5            0.5         0.0
545       184.0            0.5         0.0
546       184.5            0.5         0.0
547       185.0           1.75         0.0
548      186.75           0.25         0.0
549       187.0            1.0         0.0
550       188.0            0.5         0.0
551       188.5            2.0         0.0
552       190.5            0.5         0.0
553       191.0            1.0         0.0
554       192.0            1.5         0.0
--------------------------------------------

bach_846 Segment 27 (red):
    onset_beats duration_beats  midi_pitch
555       193.5            0.5         0.0
556       194.0           0.75         0.0
557      194.75           0.25         0.0
558       195.0            1.0         0.0
559       196.0            0.5         0.0
560       196.5           0.75         0.0
561      197.25            0.5         0.0
562      197.75           0.25         0.0
563       198.0            1.5         0.0
--------------------------------------------

bach_846 Segment 28 (red):
    onset_beats duration_beats  midi_pitch
564       199.5            0.5         0.0
565       200.0           0.75         0.0
566      200.75           0.25         0.0
567       201.0            0.5         0.0
568       201.5           1.25         0.0
569      202.75           0.25         0.0
570       203.0           0.75         0.0
571      203.75           0.25         0.0
572       204.0            0.5         0.0
573       204.5            2.0         0.0
574       206.5            0.5         0.0
575       207.0            1.0         0.0
576       208.0            1.0         0.0
577       209.0            0.5         0.0
578       209.5            0.5         0.0
579       210.0            1.5         0.0
580       211.5            0.5         0.0
581       212.0           0.75         0.0
582      212.75           2.25         0.0
--------------------------------------------

bach_846 Segment 29 (red):
    onset_beats duration_beats  midi_pitch
583       215.0            1.0         0.0
584       216.0           1.25         0.0
585      217.25           0.25         0.0
586       217.5            1.0         0.0
587       218.5            0.5         0.0
588       219.0            1.0         0.0
589       220.0           0.75         0.0
590      220.75           0.25         0.0
591       221.0            1.0         0.0
592       222.0            0.5         0.0
593       222.5            1.5         0.0
--------------------------------------------

bach_846 Segment 30 (red):
    onset_beats duration_beats  midi_pitch
594       224.0            0.5         0.0
595       224.5            0.5         0.0
596       225.0            0.5         0.0
597       225.5            2.0         0.0
598       227.5            0.5         0.0
599       228.0            2.0         0.0
600       230.0            0.5         0.0
601       230.5            1.5         0.0
602       232.0            2.5         0.0
--------------------------------------------

bach_846 Segment 31 (red):
    onset_beats duration_beats  midi_pitch
603       234.5           0.25         0.0
604      234.75           0.25         0.0
605       235.0            1.0         0.0
606       236.0            0.5         0.0
607       236.5           0.25         0.0
608      236.75           0.25         0.0
609       237.0           1.25         0.0
610      238.25           1.75         0.0
611       240.0            2/3         0.0
612       722/3            2/3         0.0
613       724/3            2/3         0.0
614       242.0           0.25         0.0
615      242.25           0.25         0.0
616       242.5           1.25         0.0
617      243.75           0.25         0.0
618       244.0            1.0         0.0
619       245.0           0.25         0.0
620      245.25            0.5         0.0
621      245.75           2.25         0.0
622         0.0            2.0        60.0
--------------------------------------------

bach_846 Segment 32 (red):
    onset_beats duration_beats  midi_pitch
623        0.25           1.75        64.0
624         2.0            2.0        60.0
625        2.25           1.75        64.0
626         4.0            2.0        60.0
627        4.25           1.75        62.0
--------------------------------------------

bach_846 Segment 33 (red):
    onset_beats duration_beats  midi_pitch
628         6.0            2.0        60.0
629        6.25           1.75        62.0
630         8.0            2.0        59.0
631        8.25           1.75        62.0
632        10.0            2.0        59.0
633       10.25           1.75        62.0
--------------------------------------------

bach_846 Segment 34 (red):
    onset_beats duration_beats  midi_pitch
634        12.0            2.0        60.0
635       12.25           1.75        64.0
636        14.0            2.0        60.0
637       14.25           1.75        64.0
638        16.0            2.0        60.0
639       16.25           1.75        64.0
640        18.0            2.0        60.0
641       18.25           1.75        64.0
642        20.0            2.0        60.0
643       20.25           1.75        62.0
644        22.0            2.0        60.0
645       22.25           1.75        62.0
646        24.0            2.0        59.0
647       24.25           1.75        62.0
648        26.0            2.0        59.0
649       26.25           1.75        62.0
650        28.0            2.0        59.0
651       28.25           1.75        60.0
--------------------------------------------

bach_846 Segment 35 (red):
    onset_beats duration_beats  midi_pitch
652        30.0            2.0        59.0
653       30.25           1.75        60.0
654        32.0            2.0        57.0
655       32.25           1.75        60.0
656        34.0            2.0        57.0
657       34.25           1.75        60.0
--------------------------------------------

bach_846 Segment 36 (red):
    onset_beats duration_beats  midi_pitch
658        36.0            2.0        50.0
659       36.25           1.75        57.0
660        38.0            2.0        50.0
661       38.25           1.75        57.0
662        40.0            2.0        55.0
663       40.25           1.75        59.0
--------------------------------------------

bach_846 Segment 37 (red):
    onset_beats duration_beats  midi_pitch
664        42.0            2.0        55.0
665       42.25           1.75        59.0
666        44.0            2.0        55.0
667       44.25           1.75        58.0
668        46.0            2.0        55.0
669       46.25           1.75        58.0
--------------------------------------------

bach_846 Segment 38 (red):
    onset_beats duration_beats  midi_pitch
670        48.0            2.0        53.0
671       48.25           1.75        57.0
672        50.0            2.0        53.0
673       50.25           1.75        57.0
674        52.0            2.0        53.0
675       52.25           1.75        56.0
676        54.0            2.0        53.0
677       54.25           1.75        56.0
--------------------------------------------

bach_846 Segment 39 (red):
    onset_beats duration_beats  midi_pitch
678        56.0            2.0        52.0
679       56.25           1.75        55.0
680        58.0            2.0        52.0
681       58.25           1.75        55.0
682        60.0            2.0        52.0
683       60.25           1.75        53.0
--------------------------------------------

bach_846 Segment 40 (red):
    onset_beats duration_beats  midi_pitch
684        62.0            2.0        52.0
685       62.25           1.75        53.0
686        64.0            2.0        50.0
687       64.25           1.75        53.0
688        66.0            2.0        50.0
689       66.25           1.75        53.0
--------------------------------------------

bach_846 Segment 41 (red):
    onset_beats duration_beats  midi_pitch
690        68.0            2.0        43.0
691       68.25           1.75        50.0
692        70.0            2.0        43.0
693       70.25           1.75        50.0
694        72.0            2.0        48.0
695       72.25           1.75        52.0
--------------------------------------------

bach_846 Segment 42 (red):
    onset_beats duration_beats  midi_pitch
696        74.0            2.0        48.0
697       74.25           1.75        52.0
698        76.0            2.0        48.0
699       76.25           1.75        55.0
700        78.0            2.0        48.0
701       78.25           1.75        55.0
--------------------------------------------

bach_846 Segment 43 (red):
    onset_beats duration_beats  midi_pitch
702        80.0            2.0        41.0
703       80.25           1.75        53.0
704        82.0            2.0        41.0
705       82.25           1.75        53.0
706        84.0            2.0        42.0
707       84.25           1.75        48.0
708        86.0            2.0        42.0
709       86.25           1.75        48.0
--------------------------------------------

bach_846 Segment 44 (red):
