Number of notes: 758

onset_beats
duration_beats
midi_pitch
ir_symbol

66.0,0.5,0,rest
66.5,0.25,57,P
66.75,0.25,60,P
67.0,0.25,65,P
67.25,0.25,57,P
67.5,0.25,60,P
67.75,0.25,65,P
68.0,0.5,0,rest
68.5,0.25,55,P
68.75,0.25,59,P
69.0,0.25,65,P
69.25,0.25,55,P
69.5,0.25,59,P
69.75,0.25,65,P
70.0,0.5,0,rest
70.5,0.25,55,P
70.75,0.25,59,P
71.0,0.25,65,P
71.25,0.25,55,P
71.5,0.25,59,P
71.75,0.25,65,P
72.0,0.5,0,rest
72.5,0.25,55,P
72.75,0.25,60,P
73.0,0.25,64,P
73.25,0.25,55,P
73.5,0.25,60,P
73.75,0.25,64,P
74.0,0.5,0,rest
74.5,0.25,55,P
74.75,0.25,60,P
75.0,0.25,64,P
75.25,0.25,55,P
75.5,0.25,60,P
75.75,0.25,64,P
76.0,0.5,0,rest
76.5,0.25,58,P
76.75,0.25,60,P
77.0,0.25,64,P
77.25,0.25,58,P
77.5,0.25,60,P
77.75,0.25,64,P
78.0,0.5,0,rest
78.5,0.25,58,P
78.75,0.25,60,P
79.0,0.25,64,P
79.25,0.25,58,P
79.5,0.25,60,P
79.75,0.25,64,P
80.0,0.5,0,rest
80.5,0.25,57,P
80.75,0.25,60,P
81.0,0.25,64,P
81.25,0.25,57,P
81.5,0.25,60,P
81.75,0.25,64,P
82.0,0.5,0,rest
82.5,0.25,57,P
82.75,0.25,60,P
83.0,0.25,64,P
83.25,0.25,57,P
83.5,0.25,60,P
83.75,0.25,64,P
84.0,0.5,0,rest
84.5,0.25,57,P
84.75,0.25,60,P
85.0,0.25,63,P
85.25,0.25,57,P
85.5,0.25,60,P
85.75,0.25,63,P
86.0,0.5,0,rest
86.5,0.25,57,P
86.75,0.25,60,P
87.0,0.25,63,P
87.25,0.25,57,P
87.5,0.25,60,P
87.75,0.25,63,P
88.0,0.5,0,rest
88.5,0.25,59,P
88.75,0.25,60,P
89.0,0.25,62,P
89.25,0.25,59,P
89.5,0.25,60,P
89.75,0.25,62,P
90.0,0.5,0,rest
90.5,0.25,59,P
90.75,0.25,60,P
91.0,0.25,62,P
91.25,0.25,59,P
91.5,0.25,60,P
91.75,0.25,62,P
92.0,0.5,0,rest
92.5,0.25,55,P
92.75,0.25,59,P
93.0,0.25,62,P
93.25,0.25,55,P
93.5,0.25,59,P
93.75,0.25,62,P
94.0,0.5,0,rest
94.5,0.25,55,P
94.75,0.25,59,P
95.0,0.25,62,P
95.25,0.25,55,P
95.5,0.25,59,P
95.75,0.25,62,P
96.0,0.5,0,rest
96.5,0.25,55,P
96.75,0.25,60,P
97.0,0.25,64,P
97.25,0.25,55,P
97.5,0.25,60,P
97.75,0.25,64,P
98.0,0.5,0,rest
98.5,0.25,55,P
98.75,0.25,60,P
99.0,0.25,64,P
99.25,0.25,55,P
99.5,0.25,60,P
99.75,0.25,64,P
100.0,0.5,0,rest
100.5,0.25,55,P
100.75,0.25,60,P
101.0,0.25,65,P
101.25,0.25,55,P
101.5,0.25,60,P
101.75,0.25,65,P
102.0,0.25,0,rest
102.25,0.25,0,rest
102.5,0.25,55,P
102.75,0.25,60,P
103.0,0.25,65,P
103.25,0.25,55,P
103.5,0.25,60,P
103.75,0.25,65,P
104.0,0.5,0,rest
104.5,0.25,55,P
104.75,0.25,59,P
105.0,0.25,65,P
105.25,0.25,55,P
105.5,0.25,59,P
105.75,0.25,65,P
106.0,0.5,0,rest
106.5,0.25,55,P
106.75,0.25,59,P
107.0,0.25,65,P
107.25,0.25,55,P
107.5,0.25,59,P
107.75,0.25,65,P
108.0,0.5,0,rest
108.5,0.25,57,P
108.75,0.25,60,P
109.0,0.25,66,P
109.25,0.25,57,P
